"","INDEX","TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
"1",1,3,3.2,1.16,-0.98,54.2,-0.567,30.8455712874547,268,0.9928,3.33,-0.59,9.9,0,8,2
"2",2,3,4.5,0.16,-0.81,26.1,-0.425,15,-327,1.02792,3.38,0.7,10.4892362598141,-1,7,3
"3",4,5,7.1,2.64,-0.88,14.8,0.037,214,142,0.99518,3.12,0.48,22,-1,8,3
"4",5,3,5.7,0.385,0.04,18.8,-0.425,22,115,0.9964,2.24,1.83,6.2,-1,6,1
"5",6,4,8,0.33,-1.26,9.4,0.0548224891009295,-167,108,0.99457,3.12,1.77,13.7,0,9,2
"6",7,0,11.3,0.32,0.59,2.2,0.556,-37,15,0.9994,3.2,1.29,15.4,0,11,0
"7",8,0,7.7,0.29,-0.4,21.5,0.06,287,156,0.99572,3.49,1.21,10.3,0,8,0
"8",11,4,6.5,-1.22,0.34,1.4,0.04,523,551,1.03236,3.2,0.527111782477341,11.6,1,7,3
"9",12,3,14.8,0.27,1.05,11.25,-0.007,-213,120.714232642615,0.9962,4.93,0.26,15,0,6,0
"10",13,6,5.5,-0.22,0.39,1.8,-0.277,62,180,0.94724,3.09,0.75,12.6,0,8,4
"11",14,0,-17.2,0.52,0.15,-33.8,-0.022,551,65,0.9934,4.31,0.56,13.1,1,5,1
"12",15,4,9,0.22,0.49,10.4,-0.15,30.8455712874547,195,1.05918,3.01,-0.4,10.2,0,10,2
"13",16,3,6,0.33,-1.06,3,0.518,5,378,0.96643,3.55,-0.86,3.9,1,7,2
"14",17,7,14.9,0.32,0.34,1.3,0.042,20,120.714232642615,0.95523,2.93,2.16,12,2,8,3
"15",19,4,21.8,0.51,1.83,2.9,-0.165,-49,45,0.9974,6.02,2.23,12.1,0,9,0
"16",20,0,5.7,0.5,-0.11,6.1,0.071,234,-331,0.9978,3.35,0.527111782477341,6.8,0,8,0
"17",22,0,7.9,0.6,0.06,50.4,0.069,15,339,0.9964,3.3,0.46,3.9,1,9,0
"18",23,4,-1.3,0.22,2.95,-53,0.541,-85,-266,0.99672,3.61,0.82,10,0,8,3
"19",24,5,10,0.23,0.27,14.1,0.033,-188,229,0.9988,3.14,0.88,11,1,11,2
"20",25,4,6.8,0.475,-0.2,-50.75,0.047,-88,508,0.99403,3.23,0.35,18.3,-1,8,2
"21",26,3,5.8,0.76,0.33,-26,-0.195,87,-283,0.9885,3.07,0.56,11.4,-1,6,1
