"Type","Breed1","Gender","Color1","Color2","Color3","MaturitySize","FurLength","Vaccinated","Dewormed","Sterilized","Health","Quantity","Fee","VideoAmt","PhotoAmt","AdoptionSpeed","AgeYears","NumColors","AllMeds"
"1","0","2","2","0","0","2","1","1","1","2","1",1,0,0,3,"3",0,"1",4
"1","0","2","2","3","0","2","1","1","1","2","1",1,100,0,5,"4",0,"2",4
"2","0","3","1","4","7","1","1","2","1","2","1",3,0,0,11,"2",0,"3",5
"1","0","1","1","2","0","2","2","2","2","2","1",1,0,0,5,"4",6,"2",6
"1","0","2","2","5","7","1","1","2","2","2","1",1,1,0,0,"3",0,"3",6
"1","1","2","1","4","7","2","1","2","2","2","1",2,0,0,2,"4",0,"3",6
"1","1","3","4","0","0","2","1","1","1","1","1",2,0,0,5,"4",2,"1",3
"1","3","1","2","0","0","2","2","2","1","2","1",4,0,0,3,"4",0,"1",5
"1","5","2","1","2","0","1","1","2","2","2","2",1,0,0,2,"1",0,"2",6
"1","5","2","3","5","0","2","2","1","1","1","1",1,0,0,2,"4",2,"2",3
"1","7","1","2","0","0","2","1","1","1","3","1",1,500,0,2,"4",1,"1",5
"1","10","2","1","7","0","2","1","1","1","1","1",1,0,0,2,"3",5,"2",3
"1","10","1","2","0","0","2","1","1","1","2","1",1,0,0,1,"3",7,"1",4
"1","10","2","2","7","0","2","1","1","1","1","2",1,0,0,2,"3",2,"2",3
"1","11","2","7","0","0","2","3","2","2","2","1",1,0,0,4,"4",0,"1",6
"1","11","2","2","0","0","2","2","2","2","2","1",1,0,0,4,"4",0,"1",6
"1","15","2","2","6","7","2","1","2","2","2","1",1,0,0,3,"1",0,"3",6
"1","15","2","1","2","0","2","2","1","3","3","1",1,0,0,1,"4",4,"2",7
"1","15","1","1","2","0","2","3","1","1","1","1",1,0,0,3,"4",0,"2",3
"1","15","1","1","7","0","2","1","2","2","2","1",1,0,0,4,"3",0,"2",6
"2","15","1","1","7","0","1","1","2","2","2","1",1,0,0,1,"4",0,"2",6
"1","15","2","5","0","0","2","1","2","2","2","1",1,0,0,3,"1",0,"1",6
"1","15","3","1","7","0","2","1","2","2","2","1",2,0,0,3,"3",0,"2",6
"1","15","1","2","0","0","2","1","2","2","2","1",1,0,0,2,"1",0,"1",6
"1","15","2","1","7","0","2","1","2","2","2","1",1,0,0,3,"3",0,"2",6
"1","16","2","1","2","0","2","2","1","1","3","1",1,100,0,1,"4",1,"2",5
"1","17","1","1","3","6","1","2","3","1","2","1",1,0,0,2,"3",3,"3",6
"1","17","1","1","2","0","1","2","1","1","2","1",2,0,0,1,"1",0,"2",4
"1","17","3","1","3","0","1","2","1","1","1","1",2,0,0,1,"4",7,"2",3
"1","17","1","3","5","7","2","2","1","1","2","1",1,0,0,1,"4",3,"3",4
"1","17","2","2","7","0","3","3","1","1","2","1",1,0,0,3,"3",0,"2",4
"1","17","2","5","0","0","1","2","3","1","3","1",1,100,0,4,"3",2,"1",7
"1","18","1","1","0","0","2","2","2","1","2","1",1,0,0,3,"2",0,"1",5
"1","18","2","2","0","0","3","2","1","1","1","1",1,0,0,7,"3",0,"1",3
"1","18","1","2","0","0","2","2","2","2","1","2",1,0,0,1,"4",4,"1",5
"1","18","2","2","7","0","2","1","3","3","2","1",1,0,0,4,"2",0,"2",8
"1","18","2","1","4","7","1","1","3","3","3","1",1,0,0,4,"4",0,"3",9
"1","18","2","2","7","0","2","1","3","3","2","1",1,0,0,4,"3",0,"2",8
"1","19","1","1","2","7","1","1","3","3","3","2",1,0,0,3,"0",1,"3",9
"1","19","2","1","2","7","2","1","3","3","3","1",1,0,0,4,"3",3,"3",9
"1","19","2","2","7","0","2","2","2","1","2","1",1,0,0,8,"3",0,"2",5
"1","19","2","2","5","0","2","1","3","1","3","1",1,0,0,1,"1",2,"2",7
"1","19","1","1","2","7","2","1","1","1","2","1",1,0,0,3,"1",3,"3",4
"1","19","2","2","5","7","2","1","1","1","2","1",1,0,0,4,"3",1,"3",4
"1","19","2","1","2","7","2","1","1","1","1","1",1,300,0,3,"2",5,"3",3
"1","19","2","2","7","0","2","1","1","1","1","1",1,0,0,21,"3",7,"2",3
"1","19","1","2","3","4","2","1","1","1","1","1",1,0,0,2,"3",8,"3",3
"1","20","1","2","0","0","2","1","1","1","2","1",2,0,0,1,"1",10,"1",4
"1","20","1","2","5","7","2","1","1","1","2","1",1,0,0,0,"3",2,"3",4
"1","20","2","2","7","0","2","1","1","1","1","1",1,0,0,10,"0",2,"2",3
"1","20","1","1","4","7","2","1","1","1","1","1",1,0,0,5,"2",5,"3",3
"1","20","2","1","2","7","2","1","3","3","3","1",1,300,0,1,"1",0,"3",9
"1","20","2","1","2","7","2","2","1","1","2","1",1,0,0,2,"2",6,"3",4
"1","20","1","1","2","7","2","2","2","1","2","2",1,0,0,5,"1",5,"3",5
"1","20","1","2","7","0","2","1","3","3","1","1",1,300,0,4,"3",5,"2",7
"1","20","1","1","2","7","2","1","1","1","1","1",1,300,0,1,"3",2,"3",3
"1","20","1","1","2","7","2","2","1","1","1","1",1,500,0,0,"4",4,"3",3
"1","20","1","1","7","0","2","1","1","1","1","1",1,0,0,8,"4",5,"2",3
"1","20","2","5","0","0","2","1","1","1","1","1",1,0,0,2,"4",5,"1",3
"1","20","2","2","7","0","2","2","1","1","2","1",1,0,0,1,"1",0,"2",4
"1","20","3","1","2","0","2","1","2","1","3","1",3,0,0,4,"2",0,"2",6
"1","20","2","1","2","7","2","1","1","1","3","1",1,0,0,1,"1",3,"3",5
"1","20","2","1","3","7","2","1","3","3","3","2",1,0,0,1,"1",2,"3",9
"1","20","1","1","2","0","1","2","1","1","3","1",1,0,0,4,"1",4,"2",5
"1","20","1","2","5","7","2","1","1","1","2","1",1,0,0,1,"2",5,"3",4
"1","20","1","1","2","7","2","1","1","1","2","1",1,300,0,1,"3",2,"3",4
"1","20","2","2","7","0","2","1","1","1","2","1",1,0,0,3,"3",0,"2",4
"1","20","1","1","2","7","2","2","1","2","2","1",1,0,0,4,"1",9,"3",5
"1","20","1","2","0","0","2","1","2","2","2","1",1,0,0,5,"1",4,"1",6
"1","20","1","2","7","0","2","1","1","1","2","1",1,400,0,1,"3",3,"2",4
"1","20","2","1","2","7","2","1","3","3","2","1",1,0,0,1,"1",2,"3",8
"1","20","1","1","2","7","2","1","1","1","1","1",1,0,0,3,"4",1,"3",3
"1","20","1","1","2","7","2","1","1","1","2","1",1,600,0,1,"3",0,"3",4
