"","Type","Gender","Color1","Color2","Color3","MaturitySize","FurLength","Vaccinated","Dewormed","Sterilized","Health","Quantity","Fee","VideoAmt","PhotoAmt","AdoptionSpeed","breedname","AgeYears","NumColors","AllMeds","purebreed"
"1","Dog","Female","Brown",NA,NA,"Medium","Short","Yes","Yes","No","Healthy",1,0,NA,3,"3",NA,0,"1","4",NA
"2","Dog","Female","Brown","Golden",NA,"Medium","Short","Yes","Yes","No","Healthy",1,100,NA,5,"4",NA,0,"2","4",NA
"3","Cat","Mixed","Black","Yellow","White","Small","Short","No","Yes","No","Healthy",3,0,NA,11,"2",NA,0,"3","5",NA
"4","Dog","Male","Black","Brown",NA,"Medium","Medium","No","No","No","Healthy",1,0,NA,5,"4",NA,6,"2","6",NA
"5","Dog","Female","Brown","Cream","White","Small","Short","No","No","No","Healthy",1,1,NA,0,"3",NA,0,"3","6",NA
"6","Dog","Female","Black","Yellow","White","Medium","Short","No","No","No","Healthy",2,0,NA,2,"4","Affenpinscher",0,"3","6","Yes"
"7","Dog","Mixed","Yellow",NA,NA,"Medium","Short","Yes","Yes","Yes","Healthy",2,0,NA,5,"4","Affenpinscher",2,"1","3","Yes"
"8","Dog","Male","Brown",NA,NA,"Medium","Medium","No","Yes","No","Healthy",4,0,NA,3,"4","Airedale Terrier",0,"1","5","Yes"
"9","Dog","Female","Black","Brown",NA,"Small","Short","No","No","No","Minor Injury",1,0,NA,2,"1","Akita",0,"2","6","Yes"
"10","Dog","Female","Golden","Cream",NA,"Medium","Medium","Yes","Yes","Yes","Healthy",1,0,NA,2,"4","Akita",2,"2","3","Yes"
"11","Dog","Male","Brown",NA,NA,"Medium","Short","Yes","Yes","Not Sure","Healthy",1,500,NA,2,"4","American Bulldog",1,"1","5","Yes"
"12","Dog","Female","Black","White",NA,"Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,2,"3","American Staffordshire Terrier",5,"2","3","Yes"
"13","Dog","Male","Brown",NA,NA,"Medium","Short","Yes","Yes","No","Healthy",1,0,NA,1,"3","American Staffordshire Terrier",7,"1","4","Yes"
