"","Type","Gender","Color1","MaturitySize","FurLength","Vaccinated","Dewormed","Sterilized","Health","Quantity","Fee","PhotoAmt","AdoptionSpeed","AgeYears","NumColors","AllMeds","purebreed","euth_risk"
"1","Dog","Female","Brown","Medium","Short","Yes","Yes","No","Healthy",1,0,3,"3",0,"1","4",NA,"Medium"
"2","Dog","Female","Brown","Medium","Short","Yes","Yes","No","Healthy",1,100,5,"4",0,"2","4",NA,"High"
"3","Cat","Mixed","Black","Small","Short","No","Yes","No","Healthy",3,0,11,"2",0,"3","5",NA,"Medium"
"4","Dog","Male","Black","Medium","Medium","No","No","No","Healthy",1,0,5,"4",6,"2","6",NA,"High"
"5","Dog","Female","Brown","Small","Short","No","No","No","Healthy",1,1,0,"3",0,"3","6",NA,"Medium"
"6","Dog","Female","Black","Medium","Short","No","No","No","Healthy",2,0,2,"4",0,"3","6","Yes","High"
"7","Dog","Mixed","Yellow","Medium","Short","Yes","Yes","Yes","Healthy",2,0,5,"4",2,"1","3","Yes","High"
"8","Dog","Male","Brown","Medium","Medium","No","Yes","No","Healthy",4,0,3,"4",0,"1","5","Yes","High"
"9","Dog","Female","Black","Small","Short","No","No","No","Minor Injury",1,0,2,"1",0,"2","6","Yes","Low"
"10","Dog","Female","Golden","Medium","Medium","Yes","Yes","Yes","Healthy",1,0,2,"4",2,"2","3","Yes","High"
"11","Dog","Male","Brown","Medium","Short","Yes","Yes","Not Sure","Healthy",1,500,2,"4",1,"1","5","Yes","High"
"12","Dog","Female","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,2,"3",5,"2","3","Yes","Medium"
"13","Dog","Male","Brown","Medium","Short","Yes","Yes","No","Healthy",1,0,1,"3",7,"1","4","Yes","Medium"
"14","Dog","Female","Brown","Medium","Short","Yes","Yes","Yes","Minor Injury",1,0,2,"3",2,"2","3","Yes","Medium"
"15","Dog","Female","White","Medium","Long","No","No","No","Healthy",1,0,4,"4",0,"1","6","Yes","High"
"16","Dog","Female","Brown","Medium","Medium","No","No","No","Healthy",1,0,4,"4",0,"1","6","Yes","High"
"17","Dog","Female","Brown","Medium","Short","No","No","No","Healthy",1,0,3,"1",0,"3","6","Yes","Low"
"18","Dog","Female","Black","Medium","Medium","Yes","Not Sure","Not Sure","Healthy",1,0,1,"4",4,"2","7","Yes","High"
"19","Dog","Male","Black","Medium","Long","Yes","Yes","Yes","Healthy",1,0,3,"4",0,"2","3","Yes","High"
"20","Dog","Male","Black","Medium","Short","No","No","No","Healthy",1,0,4,"3",0,"2","6","Yes","Medium"
"21","Cat","Male","Black","Small","Short","No","No","No","Healthy",1,0,1,"4",0,"2","6","Yes","High"
"22","Dog","Female","Cream","Medium","Short","No","No","No","Healthy",1,0,3,"1",0,"1","6","Yes","Low"
"23","Dog","Mixed","Black","Medium","Short","No","No","No","Healthy",2,0,3,"3",0,"2","6","Yes","Medium"
"24","Dog","Male","Brown","Medium","Short","No","No","No","Healthy",1,0,2,"1",0,"1","6","Yes","Low"
"25","Dog","Female","Black","Medium","Short","No","No","No","Healthy",1,0,3,"3",0,"2","6","Yes","Medium"
"26","Dog","Female","Black","Medium","Medium","Yes","Yes","Not Sure","Healthy",1,100,1,"4",1,"2","5","Yes","High"
"27","Dog","Male","Black","Small","Medium","Not Sure","Yes","No","Healthy",1,0,2,"3",3,"3","6","Yes","Medium"
