"","Gender","MaturitySize","FurLength","Vaccinated","Dewormed","Sterilized","Health","Quantity","Fee","VideoAmt","PhotoAmt","AdoptionSpeed","breedname","AgeYears","NumColors","AllMeds","ColorName1","ColorName2","ColorName3","height_low_inches","height_high_inches","weight_low_lbs","weight_high_lbs","avg_weight","size","hypoallergenic"
"1","2","2","1","1","1","2","1",1,0,0,3,"1",NA,0,"1","4","Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","2","1","1","1","2","1",1,100,0,5,"1",NA,0,"2","4","Brown","Golden",NA,NA,NA,NA,NA,NA,NA,NA
"3","1","2","2","2","2","2","1",1,0,0,5,"1",NA,6,"2","6","Black","Brown",NA,NA,NA,NA,NA,NA,NA,NA
"4","2","1","1","2","2","2","1",1,1,0,0,"1",NA,0,"3","6","Brown","Cream","White",NA,NA,NA,NA,NA,NA,NA
"5","2","2","1","2","2","2","1",2,0,0,2,"1","Affenpinscher",0,"3","6","Black","Yellow","White",9,12,8,12,10,"small","Yes"
"6","3","2","1","1","1","1","1",2,0,0,5,"1","Affenpinscher",2,"1","3","Yellow",NA,NA,9,12,8,12,10,"small","Yes"
"7","1","2","2","2","1","2","1",4,0,0,3,"1","Airedale Terrier",0,"1","5","Brown",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"8","2","1","1","2","2","2","2",1,0,0,2,"1","Akita",0,"2","6","Black","Brown",NA,26,28,80,120,100,"giant","No"
"9","2","2","2","1","1","1","1",1,0,0,2,"1","Akita",2,"2","3","Golden","Cream",NA,26,28,80,120,100,"giant","No"
"10","1","2","1","1","1","3","1",1,500,0,2,"1","American Bulldog",1,"1","5","Brown",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"11","2","2","1","1","1","1","1",1,0,0,2,"1","American Staffordshire Terrier",5,"2","3","Black","White",NA,17,19,40,50,45,"medium","No"
"12","1","2","1","1","1","2","1",1,0,0,1,"1","American Staffordshire Terrier",7,"1","4","Brown",NA,NA,17,19,40,50,45,"medium","No"
"13","2","2","1","1","1","1","2",1,0,0,2,"1","American Staffordshire Terrier",2,"2","3","Brown","White",NA,17,19,40,50,45,"medium","No"
"14","2","2","3","2","2","2","1",1,0,0,4,"1","American Water Spaniel",0,"1","6","White",NA,NA,15,18,25,45,35,"medium","No"
"15","2","2","2","2","2","2","1",1,0,0,4,"1","American Water Spaniel",0,"1","6","Brown",NA,NA,15,18,25,45,35,"medium","No"
"16","2","2","1","2","2","2","1",1,0,0,3,"1","Australian Kelpie",0,"3","6","Brown","Gray","White",NA,NA,NA,NA,NA,NA,"No"
"17","2","2","2","1","3","3","1",1,0,0,1,"1","Australian Kelpie",4,"2","7","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
"18","1","2","3","1","1","1","1",1,0,0,3,"1","Australian Kelpie",0,"2","3","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
