"","Type","Age","Gender","Color1","MaturitySize","FurLength","Vaccinated","Dewormed","Sterilized","Health","Quantity","Fee","PhotoAmt","MainBreed","has_name","pure_breed","High"
"16887","2",12,"1","2",1,1,"1","1","1",1,2,100,1,"Dom Short Hair","1","1",NA
"3430","2",1,"3","2",2,2,"2","2","2",1,2,0,3,"Dom Medium Hair","1","1",0
"3696","2",2,"2","1",2,2,"2","1","2",1,1,50,6,"Dom Medium Hair","1","1",1
"3052","2",7,"1","1",2,2,"1","1","1",1,1,0,5,"Dom Medium Hair","1","1",1
"11159","1",4,"1","2",3,2,"1","1","2",1,1,0,5,"Mixed Breed","1","0",1
"8192","2",24,"1","4",4,3,"1","1","1",1,1,0,2,"Persian","1","1",1
"18374","1",4,"1","2",3,1,"3","3","2",1,1,0,1,"Mixed Breed","0","0",NA
"17207","1",2,"3","1",2,1,"2","2","2",1,4,0,5,"Mixed Breed","1","0",NA
"11078","1",1,"3","1",2,1,"3","3","2",1,8,0,8,"Mixed Breed","1","0",1
"13410","1",12,"1","3",2,2,"1","1","3",1,1,0,3,"Mixed Breed","1","0",0
"12471","1",4,"2","7",1,1,"2","2","2",1,1,0,1,"Mixed Breed","1","0",0
"2347","2",1,"1","1",1,1,"2","2","2",1,1,0,3,"Amer Shorthair","1","1",0
"13816","1",12,"1","5",2,1,"1","1","1",1,1,0,14,"Mixed Breed","1","0",0
"2514","2",0,"3","1",1,2,"3","3","3",1,3,0,1,"Burmese","1","1",1
"16317","2",3,"2","1",1,1,"2","2","2",1,1,0,10,"Dom Medium Hair","1","1",NA
"11235","1",1,"1","1",2,2,"2","2","2",1,1,0,1,"Mixed Breed","1","0",0
"17715","2",10,"1","2",2,2,"1","1","2",1,1,0,5,"Dom Medium Hair","1","1",NA
"3218","2",11,"1","2",2,2,"2","1","2",1,1,0,2,"Dom Medium Hair","1","1",1
"18201","2",7,"2","1",1,1,"1","1","1",1,1,0,1,"Dom Short Hair","1","1",NA
"12798","1",2,"1","4",2,1,"2","2","2",1,1,0,2,"Mixed Breed","1","0",1
"11824","1",3,"1","3",3,1,"1","1","2",1,1,0,4,"Mixed Breed","1","0",1
"8480","2",2,"3","3",1,1,"1","1","2",1,3,0,14,"Siamese","0","1",0
"8539","2",1,"3","6",1,2,"2","1","2",1,3,0,3,"Siamese","1","1",1
"18192","2",5,"2","1",2,1,"2","2","2",1,2,0,2,"Bobtail","1","1",NA
"6772","2",3,"2","1",1,1,"2","2","2",1,1,0,1,"Dom Short Hair","1","1",0
"18935","2",6,"2","2",2,2,"1","1","2",1,1,0,1,"Dom Medium Hair","1","1",NA
"13613","1",2,"1","1",2,2,"2","2","1",1,1,0,5,"Mixed Breed","1","0",0
"13021","1",4,"1","3",2,2,"1","2","1",1,1,300,4,"Mixed Breed","0","0",0
"15447","1",36,"2","1",2,2,"2","1","2",1,1,0,3,"Mixed Breed","1","0",NA
"18015","1",3,"2","1",2,1,"1","1","2",1,3,0,4,"Mixed Breed","1","0",NA
"5985","2",1,"3","1",2,1,"2","2","2",1,2,0,5,"Dom Short Hair","1","1",1
"16607","1",3,"1","1",2,1,"1","1","2",1,1,150,8,"Mixed Breed","1","0",NA
"8093","2",6,"2","1",2,3,"3","3","3",1,1,0,7,"Persian","1","1",1
"15068","1",24,"2","1",2,1,"3","3","3",1,1,200,1,"Mixed Breed","1","0",NA
"6395","2",7,"1","1",2,1,"1","1","2",1,1,0,1,"Dom Short Hair","1","1",0
"13855","1",2,"1","1",3,2,"1","1","2",1,1,0,1,"Mixed Breed","1","0",0
"9641","1",3,"3","1",2,2,"1","1","2",1,2,0,2,"Mixed Breed","1","0",0
"11561","1",1,"2","1",1,2,"2","2","2",1,1,0,15,"Mixed Breed","1","0",1
"16063","1",114,"2","1",3,1,"1","1","1",1,1,250,1,"Rottweiler","1","1",NA
"12737","1",3,"2","2",2,2,"1","1","2",1,1,0,5,"Mixed Breed","1","0",0
"4756","2",10,"1","2",2,1,"1","1","1",1,1,100,1,"Dom Short Hair","1","1",0
"10603","1",1,"2","1",2,1,"2","1","2",1,1,0,4,"Mixed Breed","1","0",0
"8173","2",1,"2","1",1,2,"1","1","2",1,1,0,1,"Persian","1","1",1
"18008","1",2,"3","1",1,1,"2","2","2",1,2,0,4,"Mixed Breed","0","0",NA
"5998","2",12,"1","6",2,1,"1","1","1",1,1,0,5,"Dom Short Hair","1","1",0
"6515","2",18,"2","1",1,1,"1","1","1",1,1,0,5,"Dom Short Hair","1","1",1
"2478","2",2,"1","1",1,2,"2","2","2",1,1,0,0,"British Shorthair","1","1",0
"5108","2",48,"1","1",2,1,"2","3","3",1,1,0,5,"Dom Short Hair","1","1",0
"15291","1",22,"1","2",2,1,"2","1","2",1,1,0,2,"Mixed Breed","1","0",NA
"16302","2",12,"1","4",2,2,"2","2","2",1,1,0,5,"Dom Short Hair","1","1",NA
"15301","1",4,"2","2",2,2,"2","2","2",1,1,0,3,"Mixed Breed","1","0",NA
"13751","1",1,"3","1",2,1,"1","1","1",1,2,0,3,"Mixed Breed","1","0",0
"1145","1",84,"1","7",1,2,"1","1","2",1,1,0,3,"Maltese","1","1",1
"8208","2",6,"2","2",2,3,"2","1","2",1,1,750,10,"Persian","1","1",0
"1976","1",2,"1","1",2,2,"1","2","1",1,1,0,10,"Spitz","1","1",1
"17814","2",6,"2","2",2,2,"2","1","2",2,1,0,1,"Abyssinian","1","1",NA
"2691","2",6,"1","4",2,2,"3","1","2",1,1,30,2,"Dom Long Hair","1","1",1
"4652","2",1,"3","4",1,1,"2","1","2",1,3,0,0,"Dom Short Hair","1","1",0
"12117","1",4,"1","1",2,1,"2","1","2",1,1,0,2,"Mixed Breed","1","0",0
"13236","1",2,"2","1",2,1,"2","2","2",1,1,0,4,"Mixed Breed","1","0",0
"757","1",24,"3","3",3,2,"1","1","2",1,2,0,5,"Golden Retriever","1","1",1
"2329","2",1,"2","1",2,1,"3","3","2",1,3,0,3,"Amer Shorthair","1","1",1
"5305","2",1,"1","1",2,1,"1","1","2",1,1,0,5,"Dom Short Hair","1","1",1
"15658","2",3,"2","1",1,1,"2","1","2",1,1,0,1,"Dom Short Hair","1","1",NA
"2469","2",4,"1","1",2,3,"1","1","1",1,4,0,1,"Bombay","1","1",0
"14826","1",1,"2","2",2,1,"2","1","2",1,1,0,2,"Mixed Breed","1","0",0
"13159","1",24,"2","1",2,1,"2","2","2",1,1,0,2,"Mixed Breed","1","0",0
"5483","2",1,"2","1",1,1,"2","2","2",1,1,0,1,"Dom Short Hair","1","1",1
"1867","1",4,"1","2",1,3,"3","1","2",1,1,500,3,"Shih Tzu","1","1",0
"3386","2",6,"2","1",1,1,"1","1","2",1,3,0,3,"Dom Medium Hair","1","1",0
"6682","2",1,"3","1",2,1,"2","2","2",1,3,0,3,"Dom Short Hair","1","1",1
"15593","2",3,"1","3",2,1,"2","1","2",1,1,0,6,"Dom Short Hair","1","1",NA
"15615","2",46,"2","1",2,1,"1","1","1",1,1,130,1,"Tabby","1","1",NA
"5238","2",1,"1","1",1,1,"2","2","2",1,1,0,1,"Dom Short Hair","1","1",1
"1061","1",2,"2","1",3,2,"2","2","2",1,1,0,2,"Labrador Retriever","1","1",0
"2779","2",89,"2","2",2,3,"1","1","2",1,1,0,3,"Dom Long Hair","1","1",0
"8520","2",5,"1","7",2,1,"2","2","2",1,1,0,4,"Siamese","1","1",0
"11355","1",2,"2","2",2,1,"2","1","2",1,1,0,1,"Mixed Breed","1","0",1
"5704","2",2,"1","1",2,1,"2","1","2",1,1,0,4,"Dom Short Hair","1","1",1
"9410","1",1,"3","1",2,2,"2","2","2",1,2,0,5,"Mixed Breed","1","0",1
"8031","2",24,"1","1",2,3,"1","1","2",1,1,0,1,"Persian","1","1",1
"14999","1",12,"2","1",1,1,"1","1","1",1,1,0,2,"Mixed Breed","1","0",NA
"2842","2",3,"2","4",3,3,"2","1","3",1,1,0,1,"Dom Long Hair","1","1",1
"1285","1",32,"1","2",2,2,"1","1","1",1,1,0,2,"Pomeranian","1","1",1
"13047","1",24,"1","5",2,2,"3","3","2",1,1,0,5,"Mixed Breed","1","0",0
"334","1",72,"1","2",2,3,"3","3","2",1,1,0,4,"Cocker Spaniel","1","1",1
"9071","1",2,"1","1",2,1,"2","1","2",1,1,0,7,"Mixed Breed","1","0",1
"11089","1",24,"2","2",3,2,"1","2","1",1,1,0,3,"Mixed Breed","1","0",0
"6988","2",3,"1","1",2,1,"2","2","2",1,1,0,4,"Dom Short Hair","1","1",1
"1247","1",1,"2","1",2,1,"2","2","2",1,7,100,5,"Pit Bull Terrier","1","1",1
"12982","1",1,"1","1",2,1,"3","3","3",1,3,0,1,"Mixed Breed","0","0",1
"4483","2",2,"3","1",1,1,"2","2","2",1,3,0,3,"Dom Short Hair","1","1",1
"10576","1",3,"2","1",2,2,"1","1","2",1,1,0,1,"Mixed Breed","1","0",0
"5850","2",4,"2","3",1,1,"1","1","2",1,1,0,4,"Dom Short Hair","1","1",1
"10662","1",36,"1","7",2,1,"1","1","2",1,1,80,2,"Mixed Breed","1","0",0
"1752","1",24,"1","2",1,3,"1","1","2",1,1,250,2,"Shih Tzu","1","1",1
"13739","1",2,"1","1",2,1,"1","1","2",1,1,50,5,"Mixed Breed","1","0",0
"17107","2",11,"2","1",1,1,"1","1","1",1,1,0,1,"Dom Short Hair","1","1",NA
"5614","2",12,"2","1",2,1,"1","1","1",1,1,0,5,"Dom Short Hair","1","1",1
"10029","1",2,"1","2",2,2,"1","1","2",1,1,50,1,"Mixed Breed","1","0",1
"6949","2",2,"2","1",2,1,"1","1","2",1,1,0,5,"Dom Short Hair","1","1",1
"14276","1",1,"2","1",2,2,"2","2","2",1,1,0,1,"Mixed Breed","1","0",1
"11465","1",0,"2","2",2,2,"2","2","2",1,1,0,5,"Mixed Breed","1","0",1
"12186","1",3,"3","1",2,3,"2","2","2",1,5,0,7,"Mixed Breed","0","0",0
"8095","2",7,"2","1",2,2,"1","1","2",1,1,0,2,"Persian","1","1",1
